ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S106,M,B1,BT1,T1,Congruent,Spatial,Above,Right,1,371.43
S106,M,B1,BT2,T2,Congruent,Double,Below,Right,1,471.5
S106,M,B1,BT3,T3,Incongruent,Double,Below,Right,1,618.71
S106,M,B1,BT4,T4,Incongruent,Spatial,Below,Left,1,466.15
S106,M,B1,BT5,T5,Incongruent,Double,Above,Right,1,463.72
S106,M,B1,BT6,T6,Congruent,Spatial,Below,Right,1,444.72
S106,M,B1,BT7,T7,Congruent,None,Below,Left,1,528.21
S106,M,B1,BT8,T8,Congruent,None,Below,Left,1,458.48
S106,M,B1,BT9,T9,Incongruent,Spatial,Above,Left,1,476.48
S106,M,B1,BT10,T10,Incongruent,Central,Above,Right,1,638.14
S106,M,B1,BT11,T11,Congruent,Double,Above,Right,1,473.18
S106,M,B1,BT12,T12,Incongruent,Central,Below,Left,1,561.6
S106,M,B1,BT13,T13,Congruent,Spatial,Above,Left,1,473.85
S106,M,B1,BT14,T14,Incongruent,Double,Below,Left,1,662.45
S106,M,B1,BT15,T15,Congruent,Double,Above,Right,1,511.54
S106,M,B1,BT16,T16,Incongruent,None,Below,Left,1,669.41
S106,M,B1,BT17,T17,Congruent,None,Below,Right,1,677.83
S106,M,B1,BT18,T18,Incongruent,Double,Below,Right,1,594.35
S106,M,B1,BT19,T19,Congruent,Central,Above,Left,1,470.54
S106,M,B1,BT20,T20,Congruent,None,Above,Right,1,468.51
S106,M,B1,BT21,T21,Congruent,None,Above,Right,1,586.68
S106,M,B1,BT22,T22,Congruent,Double,Below,Left,1,399.44
S106,M,B1,BT23,T23,Congruent,Double,Above,Right,1,385.73
S106,M,B1,BT24,T24,Congruent,Double,Below,Right,1,388.53
S106,M,B1,BT25,T25,Incongruent,Spatial,Below,Left,1,461.35
S106,M,B1,BT26,T26,Incongruent,Spatial,Above,Left,1,444.57
S106,M,B1,BT27,T27,Incongruent,Central,Below,Left,0,361.27
S106,M,B1,BT28,T28,Incongruent,Spatial,Above,Right,1,622.15
S106,M,B1,BT29,T29,Congruent,Central,Above,Left,1,462.86
S106,M,B1,BT30,T30,Incongruent,None,Below,Right,0,492.3
S106,M,B1,BT31,T31,Incongruent,Double,Below,Right,1,626.75
S106,M,B1,BT32,T32,Incongruent,None,Above,Right,1,559.67
S106,M,B1,BT33,T33,Incongruent,Double,Below,Left,1,477.48
S106,M,B1,BT34,T34,Congruent,Central,Above,Right,1,542.46
S106,M,B1,BT35,T35,Congruent,Central,Above,Right,1,590.61
S106,M,B1,BT36,T36,Incongruent,Spatial,Below,Right,1,645.68
S106,M,B1,BT37,T37,Incongruent,Central,Below,Right,1,567.64
S106,M,B1,BT38,T38,Congruent,None,Below,Right,1,407.27
S106,M,B1,BT39,T39,Incongruent,Spatial,Below,Right,1,415.34
S106,M,B1,BT40,T40,Incongruent,None,Above,Left,0,458.84
S106,M,B1,BT41,T41,Incongruent,None,Below,Right,1,589.34
S106,M,B1,BT42,T42,Congruent,Double,Above,Left,1,538.52
S106,M,B1,BT43,T43,Congruent,None,Above,Right,1,512.34
S106,M,B1,BT44,T44,Congruent,Spatial,Above,Left,1,438.05
S106,M,B1,BT45,T45,Incongruent,None,Above,Left,1,541.98
S106,M,B1,BT46,T46,Incongruent,Central,Below,Right,1,561.71
S106,M,B1,BT47,T47,Incongruent,Central,Above,Right,0,427.41
S106,M,B1,BT48,T48,Congruent,Double,Above,Left,1,541
S106,M,B1,BT49,T49,Incongruent,Spatial,Below,Right,1,541.04
S106,M,B1,BT50,T50,Incongruent,Spatial,Above,Right,1,400.52
S106,M,B1,BT51,T51,Congruent,Double,Above,Left,1,463.48
S106,M,B1,BT52,T52,Incongruent,Central,Below,Right,1,496.72
S106,M,B1,BT53,T53,Incongruent,Double,Above,Left,1,590.52
S106,M,B1,BT54,T54,Congruent,Double,Below,Left,1,577.6
S106,M,B1,BT55,T55,Congruent,Double,Below,Left,1,534.73
S106,M,B1,BT56,T56,Congruent,Double,Below,Right,1,415.15
S106,M,B1,BT57,T57,Congruent,Spatial,Below,Left,1,472.42
S106,M,B1,BT58,T58,Incongruent,Spatial,Above,Left,1,506.59
S106,M,B1,BT59,T59,Congruent,Central,Above,Right,1,440.51
S106,M,B1,BT60,T60,Congruent,Spatial,Below,Left,1,407.42
S106,M,B1,BT61,T61,Incongruent,None,Above,Right,1,656.9
S106,M,B1,BT62,T62,Incongruent,Spatial,Below,Left,1,480.93
S106,M,B1,BT63,T63,Congruent,Central,Below,Left,1,469.34
S106,M,B1,BT64,T64,Congruent,Spatial,Below,Right,1,433.89
S106,M,B1,BT65,T65,Congruent,Spatial,Below,Right,1,391.57
S106,M,B1,BT66,T66,Incongruent,Central,Above,Left,1,600.11
S106,M,B1,BT67,T67,Congruent,None,Above,Left,1,398.91
S106,M,B1,BT68,T68,Incongruent,None,Below,Left,1,542.93
S106,M,B1,BT69,T69,Congruent,None,Below,Left,1,415.45
S106,M,B1,BT70,T70,Incongruent,Central,Above,Right,1,589.03
S106,M,B1,BT71,T71,Incongruent,Central,Above,Left,1,556.89
S106,M,B1,BT72,T72,Congruent,Central,Below,Right,1,468.85
S106,M,B1,BT73,T73,Incongruent,Double,Above,Left,1,695.03
S106,M,B1,BT74,T74,Congruent,None,Above,Left,1,401.91
S106,M,B1,BT75,T75,Incongruent,Spatial,Above,Right,1,463.55
S106,M,B1,BT76,T76,Incongruent,Central,Below,Left,1,1152.54
S106,M,B1,BT77,T77,Incongruent,None,Above,Right,0,479.03
S106,M,B1,BT78,T78,Congruent,Spatial,Above,Right,1,448.44
S106,M,B1,BT79,T79,Congruent,Spatial,Below,Left,1,506.58
S106,M,B1,BT80,T80,Congruent,Spatial,Above,Left,1,367.37
S106,M,B1,BT81,T81,Incongruent,Double,Below,Left,1,625.03
S106,M,B1,BT82,T82,Congruent,Central,Above,Left,1,434.9
S106,M,B1,BT83,T83,Congruent,None,Below,Right,1,540.25
S106,M,B1,BT84,T84,Incongruent,Double,Above,Right,1,786.93
S106,M,B1,BT85,T85,Congruent,None,Above,Left,1,430.76
S106,M,B1,BT86,T86,Congruent,Central,Below,Right,1,424.36
S106,M,B1,BT87,T87,Incongruent,Double,Above,Left,1,658.65
