ID,Lang,QP,DELE,Eng,Span,CSFreq,CSExp
S111,B,48,35,9,8.25,4,2
S119,B,45,31,8.25,7.75,2,2
S121,B,47,22,10,7.5,3,2
S124,B,50,38,10,7.75,0,2
S125,B,44,22,8.25,5.75,2,2
S129,B,45,34,7,8,3,2
S130,B,48,31,9.5,8.75,1,0
S131,B,44,22,10,6.75,4,3
S132,B,45,35,9.75,6.5,0,1
S133,B,46,28,10,8.5,2,1
S135,B,48,22,8.5,5.75,2,3
S141,B,48,36,10,9.25,2,2
S143,B,48,29,7.75,6.5,4,2
S144,B,49,30,8.5,6.5,2,3
S146,B,49,38,10,9.75,4,3
S152,B,48,25,9,7.25,1,1
S155,B,49,30,10,7.25,3,3
S156,B,45,40,8.75,9.5,1,1
S157,B,50,24,10,6.5,4,4
S158,B,47,14,10,4.5,3,2
S159,B,49,45,10,10,4,2
S160,B,48,NA,10,7.25,3,3
S165,B,48,36,10,9,4,4
S166,B,46,40,9.75,10,4,3
S169,B,49,34,8.75,8.5,4,2
S170,B,47,24,10,8.5,2,3
S173,B,48,26,10,8.75,0,1
S174,B,49,36,10,10,2,2
S175,B,49,31,10,10,2,2
S177,B,48,38,9.25,9,3,2
S179,B,48,35,9.75,8.75,4,2
S181,B,49,41,8.25,7.75,0,1
